Country,Example (Front),Example (Back),Example Source,Location (Region),Primary Color,Secondary Color(s),,Notes
Albania,,,Albania #1,Durrës County,White,Red,,"Almost entirely white post, tall red vertical stripe running on the left side of the bollard. Rare - have only found in the mountains."
Albania,,,Albania #2,Tirana County,White,Black,Red,"White post with a black top all the way around, red rectangle on the front, white rectangle on the back. It's distinct from many others in that the black stripe is at the top as opposed to just near the top. Bollards in Albania appear to be rare, in general"
Andorra,,,Andorra #1,Ordino,,,,"National roads (snowy conditions-mountains). Various forms (wood, plastic, long or short) and colors (green, white, red, yellow) but very specific to Andorra. Height > 1m."
Australia,,,Australia #1,New South Wales,White,Red,,"White post, small red circle near the top, on the left side of the road, all white on the back."
Australia,,,Australia #2,Queensland,White,Red,,"White post, small red rectangle near the top, all white on the back. Also, used in Tasmania"
Austria,,,Austria #1,Near Mitterahrnbach,White,Black,,"White post, with a black top and a black vertical stripe in the top third"
Belgium,,,Belgium #1,Flanders,White,Yellow,,"White post, yellow rectangle at the top"
Bulgaria,,,Bulgaria #1,Pazardzhik,White,Black,Red,"White post, black horizontal stripe with 1 vertical red rectangle inside of stripe."
Cambodia,,,Cambodia #1,Siem Reap,,,,"Very rare, I think"
Canary Islands,,,Canary Islands #1,Gran Canaria,White,Black,Red,"White post, black band at the top with an red (I think, maybe orange) rectangle inside the black."
Christmas Island,,,Christmas Island #1,Christmas Island,White,Grey,,"I think these are white with grey vertical rectangle near the top, but the coloring was a little off"
Colombia,,,Colombia #1,Bogota,,,,
Croatia,,,Croatia #1,"Bjelovar-Bilogora
County",White,Black,Red,"While similar to many with the white-black-red combination, these appear to be identical to those found in North Macedonia"
Czechia,,,Czechia #1,Vysocina Region,White,Black,Orange,"White post, black horizontal stripe with 2 horizontal orange rectangles inside of stripe. On the right side of the road."
Denmark,,,Denmark #1,Region of Southern Denmark,White,Yellow,Orange,"White post, yellow rectangle near top, neon orange border near the top"
Estonia,,,Estonia #1,Jõgeva County,White,Black,White,"White with a diagonal black stripe near the top, white vertical rectangle near the top"
Estonia,,,Estonia #2,Tartu County,,,,"White with a diagonal black stripe near the top, yellow vertical rectangle near the top"
Faroe Islands,,,Faroe Islands #1,Nordskali,Yellow,Red,Yellow,"Half yellow, half red, with a yellow rectangle at the top"
Finland,,,Finland #1,Southern Savonia,White,Black,White,"Almost identical to Estonia, unfortunately"
France,,,France #1,Occitanie,,,,"Curves bollards. White with Grey band near the top. Red ""hat"" on top in snowy region (Alps for ex.)"
Greece,,,Greece #1,Thessaly,White,Black,Red,"White post, diagonal black strip near the top, vertical red rectangle in the black strip. Could be coincidental, but bollards in Greece appear to be rare."
Hungary,,,Hungary #1,Heves County,White,Black,Red,Appear to be identical to those found in Croatia and North Macedonia
Iceland,,,Iceland #1,Northwest Region,Yellow,White,,Yellow
Indonesia,,,Indonesia #1,Central Java,Yellow,Black,Red,Striped Yellow and Black with a red rectangle in the top region.
Indonesia,,,Indonesia #2,Central Java,White,Black,,Two white and black stripes
Ireland,,,Ireland #1,County Tipperary,Green,White,,"More of a cylindrical pole, green with 2 white horizontal stripes."
Isle of Man,,,Isle of Man #1,On the A3,White,Black,Red,"Black at the top and bottom, white in the middle. Red rectangle when on the left, white rectangle when on the right."
Italy,,,Italy #1,Liguria,White,Black,Red,"White post, black top, red stripe in the black top."
Italy,,,Italy #2,Sicily,White,Black,Red,"Similar to the first, but the rectangles in the black top are more stout."
Japan,,,Japan #1,Akita,White,Yellow,White,"White circle on the top front, yellow circle on the top back. Have also found in Okinawa"
Kyrgyzstan,,,Kyrgyzstan #1,Talas Region,White,Black,,White with a black diagonal stripe in the top half
Kyrgyzstan,,,Kyrgyzstan #2,Naryn Region,White,Red,,"White post, red top with local script on the side."
Latvia,,,Latvia #1,Babite Municipality,White,Black,White,"White with a diagonal black stripe near the top, white vertical rectangle near the top"
Lithuania,,,Lithuania #1,Klaipeda County,White,Black,Orange,"White post with a black horizontal stripe that wraps all the way around, orange vertical rectangle on the front, white vertical rectangle on the back"
Luxembourg,,,Luxembourg #1,Grevenmacher,White,Black,Grey,"White post, black horizontal stripe with 1 vertical grey rectangle inside of stripe. Also notice that some may contain a small red vertical rectangle on the outside edge of the bollard. This may indicate it's close to a curve in the road."
Luxembourg,,,Luxembourg #2,Diekirch,,,,White painting line on tree trunks.
Mongolia,,,Mongolia #1,Bayan-Olgii,White,Red,,"White with two red stripes in the top half. Didn't find these anywhere else in the country. Not to say they aren't there, but these were located near the northwestern border."
Montenegro,,,Montenegro #1,Podgorica Municipality,White,Black,Red,"White post, black cap, with a tall red vertical stripe in the middle of the bollard on the white part of the post. The back side is completely white with the black cap."
Netherlands,,,Netherlands #1,South Holland,White,Red,,"White post, red vertical stripe near top"
New Zealand,,,New Zealand #1,Otago,White,Red,Grey,"White post with a red stripe that wraps around almost all the way, the stripe is intercepted by a long grey strip that is almost indistinguishable from the white."
North Macedonia,,,North Macedonia #1,Municipality of Štip,White,Black,Red,"White post, black horizontal stripe with 1 vertical red rectangle inside of stripe."
Peru,,,Peru #1,Cajamarca,Black,White,,"Black on the top, bottom and middle, with white strips inbetween. I know, not technically a bollard, but it helps to distinguish Peru."
Poland,,,Poland #1,,White,Red,,"White with red horizontal stripe and a white vertical rectangle on the back. Also there are numbers on some of them, I think they indicate the KM on the road."
Portugal,,,Portugal #1,Portalegre District,White,Black,White,Black horizontal stripe with a white vertical rectangle inside of stripe.
Portugal,,,Portugal #2,Evora District,White,Black,Orange,Black diagonal stripe with an orange vertical rectangle inside of stripe. Appears to be (exclusively?) on the left hand side of the road of a divided highway.
Romania,,,Romania #1,Suceava County,Red,White,,"More of a stone marker, red on the top and bottom, white in the middle. Road number on the side nearest the road, numbers on the top are perhaps kilometer markers. "
Romania,,,Romania #2,,Blue,White,,"More of a stone marker, blue on the top and bottom, white in the middle. Road number on the side nearest the road, numbers on the top are perhaps kilometer markers. "
Russia,,,Russia #1,Tuva,White,Black,Red,"White post, black horizontal stripe with 1 vertical red rectangle inside of stripe. Appear to be only present near an intersection. Also, if you look closely, there is a skinny main support pole that the wider flag part of the bollard. They also have the same design of bollard elsewhere, but with the typical European sign bulkiness, found in Sakhalin Oblast."
Serbia,,,Serbia #1,Vojvodina,White,Black,Red,"White post, black stripe, red vertical rectangle on the left side of the black stripe on the front, white vertical rectangle on the middle of the back."
Slovakia,,,Slovakia #1,Zilina Region,White,Black,Red,"White post with black horizontal stripe all the way around, double red rectangles on the front, single gray on the back"
Slovenia,,,Slovenia #1,Grosuplje,White,Black,Red,"White post, black top, red vertical stripe in the upper third. Similar to, but not identical to, Montenegro"
Spain,,,Spain #1,Castille and Leon,White,Black,Yellow,Black horizontal stripe with a yellow vertical rectangle inside of stripe.
Sri Lanka,,,Sri Lanka #1,North-West Region,,,,Crossing River Bollards. (small white with black base surrounding a small wall)
